,Region/Country/Area,Year,Emissions (thousand metric tons of carbon dioxide),Emissions per capita (metric tons of carbon dioxide),Primary energy production (petajoules),Supply per capita (gigajoules)
0,Algeria,2005,"78,045",2.3,"7,534",48
1,Algeria,2010,"96,452",2.7,"6,200",46
2,Algeria,2015,"1,31,690",3.3,"5,883",56
3,Algeria,2017,"1,31,701",3.2,"6,285",55
4,Algeria,2018,"1,38,496",3.3,"6,254",58
5,Algeria,2019,"1,43,586",3.3,"5,954",58
6,Angola,2005,"7,510",0.3,"2,889",19
7,Angola,2010,"15,863",0.6,"4,016",20
8,Angola,2015,"23,293",0.8,"4,030",20
9,Angola,2017,"18,480",0.6,"4,085",18
10,Angola,2018,"18,409",0.5,"3,794",18
11,Angola,2019,"20,597",0.6,"3,639",17
12,Benin,2005,"3,198",0.3,70,14
13,Benin,2010,"5,148",0.5,82,16
14,Benin,2015,"6,002",0.5,104,17
15,Benin,2017,"7,455",0.6,110,19
16,Benin,2018,"8,044",0.6,113,19
17,Benin,2019,"7,941",0.6,121,19
18,Botswana,2005,"4,515",2.4,29,35
19,Botswana,2010,"3,501",1.6,30,37
20,Botswana,2015,"7,192",3.3,56,38
21,Botswana,2017,"7,576",3.3,59,45
22,Botswana,2018,"7,556",3.2,65,46
23,Botswana,2019,"7,495",3.1,56,42
24,Cameroon,2005,"5,022",0.2,444,17
25,Cameroon,2010,"6,666",0.2,353,14
26,Cameroon,2015,"7,952",0.3,495,16
27,Cameroon,2017,"8,369",0.3,477,16
28,Cameroon,2018,"8,765",0.3,504,16
29,Cameroon,2019,"8,691",0.3,544,16
30,Congo,2005,"1,001",0.2,563,13
31,Congo,2010,"2,080",0.4,724,16
32,Congo,2015,"3,643",0.7,607,24
33,Congo,2017,"3,319",0.6,684,24
34,Congo,2018,"3,532",0.6,812,24
35,Congo,2019,"4,134",0.7,834,25
36,Côte d’Ivoire,2005,"7,156",0.3,451,23
37,Côte d’Ivoire,2010,"7,658",0.3,389,17
38,Côte d’Ivoire,2015,"11,149",0.4,395,18
39,Côte d’Ivoire,2017,"11,981",0.4,436,19
40,Côte d’Ivoire,2018,"11,649",0.4,415,17
41,Côte d’Ivoire,2019,"12,327",0.4,436,17
42,Dem. Rep. of the Congo,2005,"5,969",0,740,12
43,Dem. Rep. of the Congo,2010,"7,260",0,856,13
44,Dem. Rep. of the Congo,2015,"8,794",0,"1,218",16
45,Dem. Rep. of the Congo,2017,"9,243",0,"1,264",15
46,Dem. Rep. of the Congo,2018,"8,209",0,"1,173",14
47,Dem. Rep. of the Congo,2019,"8,301",0,"1,285",15
48,Equatorial Guinea,2005,"5,935",7.9,857,108
